pool,margin,quality_floor,uahe_cap,min_cond_filled,prompts_total,prompts_kept,pairs,pass_rate,reject_no_valid_reject,reject_min_cond,reject_uahe_cap,reject_below_quality_floor
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,3.0,0.5,3139,764,764,0.2434,149,35.0,894.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,3.0,0.6,3139,760,760,0.2421,149,39.0,894.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,3.0,0.7,3139,760,760,0.2421,149,39.0,894.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,5.0,0.0,3139,1117,1117,0.3558,157,,568.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,5.0,0.3,3139,1116,1116,0.3555,157,1.0,568.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,5.0,0.5,3139,1083,1083,0.345,152,39.0,568.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,5.0,0.6,3139,1077,1077,0.3431,152,45.0,568.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,5.0,0.7,3139,1077,1077,0.3431,152,45.0,568.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,10.0,0.0,3139,1549,1549,0.4935,164,,129.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,10.0,0.3,3139,1548,1548,0.4932,164,1.0,129.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,10.0,0.5,3139,1515,1515,0.4826,159,39.0,129.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,10.0,0.6,3139,1508,1508,0.4804,159,46.0,129.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,10.0,0.7,3139,1508,1508,0.4804,159,46.0,129.0,1297.0
